id,name,firstName,lastName,party,state,district,chamber,title,url,inOffice,lastUpdated
,,,,,Michigan,10.0,,,https://api.congress.gov/v3/member/J000307?format=json,False,2025-07-28T12:49:47.020778
,,,,,Mississippi,4.0,,,https://api.congress.gov/v3/member/E000235?format=json,False,2025-07-28T12:49:47.020784
,,,,,North Carolina,1.0,,,https://api.congress.gov/v3/member/D000230?format=json,False,2025-07-28T12:49:47.020790
,,,,,Missouri,7.0,,,https://api.congress.gov/v3/member/B001316?format=json,False,2025-07-28T12:49:47.020796
,,,,,Missouri,4.0,,,https://api.congress.gov/v3/member/A000379?format=json,False,2025-07-28T12:49:47.020806
,,,,,Minnesota,1.0,,,https://api.congress.gov/v3/member/F000475?format=json,False,2025-07-28T12:49:47.020813
,,,,,North Carolina,2.0,,,https://api.congress.gov/v3/member/R000305?format=json,False,2025-07-28T12:49:47.020819
,,,,,Minnesota,7.0,,,https://api.congress.gov/v3/member/F000470?format=json,False,2025-07-28T12:49:47.020829
,,,,,North Carolina,3.0,,,https://api.congress.gov/v3/member/M001210?format=json,False,2025-07-28T12:49:47.020835
,,,,,Mississippi,3.0,,,https://api.congress.gov/v3/member/G000591?format=json,False,2025-07-28T12:49:47.020841
,,,,,Minnesota,8.0,,,https://api.congress.gov/v3/member/S001212?format=json,False,2025-07-28T12:49:47.020847
,,,,,Minnesota,5.0,,,https://api.congress.gov/v3/member/O000173?format=json,False,2025-07-28T12:49:47.020853
